country,points,price,province,region_1,region_2,variety,winery
Spain,87,13,Catalonia,Cava,,Sparkling Blend,Vins El Cep
France,87,23,Burgundy,Bourgogne Epineuil,,Pinot Noir,Domaine Dominique Gruhier
France,87,,Burgundy,Mâcon-Villages,,Chardonnay,Domaine Sophie Cinier
US,87,18,California,Santa Ynez Valley,Central Coast,Chardonnay,Firestone
US,87,14,New York,Finger Lakes,Finger Lakes,Riesling,Fox Run
US,87,17,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Girly Girl
Italy,87,25,Southern Italy,Colli di Salerno,,Aglianico,Montevetrano
Spain,87,20,Catalonia,Penedès,,Xarel-lo,Parés Baltà
France,87,25,Burgundy,Pouilly-Fuissé,,Chardonnay,Pierre André
US,87,16,California,Lodi,Central Valley,Zinfandel,Seven Deadly Zins
US,87,40,California,Sonoma Valley,Sonoma,Grenache,Sheldon
New Zealand,86,19,Marlborough,,,Pinot Noir,Oyster Bay
New Zealand,86,16,Marlborough,,,Pinot Noir,Ponga
New Zealand,86,20,Nelson,,,Pinot Noir,Seifried
Greece,86,27,Naoussa,,,Xinomavro,Boutari
US,86,22,California,Russian River Valley,Sonoma,Fumé Blanc,Chateau St. Jean
Italy,86,,Tuscany,Bolgheri,,White Blend,Cipriana
Romania,86,7,Viile Timisului,,,Pinot Noir,Cramele Recas
France,86,,Burgundy,Mâcon-Villages,,Chardonnay,Domaine Sangouard-Guyot
Italy,86,15,Tuscany,Toscana,,Rosato,Fattoria Lavacchio
US,86,28,California,Santa Barbara County,Central Coast,Syrah,Fess Parker
US,86,22,California,Sonoma Coast,Sonoma,Syrah,Flocchini
Italy,86,15,Tuscany,Toscana,,Sémillon,Fornacelle
Italy,86,13,Tuscany,Bolgheri,,Rosato,Giorgio Meletti Cavallari
US,86,45,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Aje
US,86,30,California,Russian River Valley,Sonoma,Pinot Noir,Alderbrook
Israel,86,,Galilee,,,Cabernet Sauvignon,Alexander
Israel,86,,Galilee,,,Chardonnay,Alexander
Italy,86,15,Tuscany,Toscana,,Vermentino,Altadonna
US,86,25,California,Carneros,Napa-Sonoma,Pinot Noir,Artesa
US,86,35,California,Napa Valley,Napa,Zinfandel,Benessere
Morocco,86,30,Guerrouane,,,Syrah-Grenache,Bernard Magrez
US,86,18,California,Sonoma Valley,Sonoma,Syrah,Wellington
Italy,86,14,Tuscany,Toscana,,Sangiovese,L'Antica Fornace di Ridolfo
US,86,14,New York,Finger Lakes,Finger Lakes,Riesling,Lucas Vineyards
US,86,16,California,California,California Other,Red Blend,Michael Pozzan
US,86,19,Washington,Horse Heaven Hills,Columbia Valley,Rhône-style Red Blend,Ott & Murphy
US,86,60,California,Napa Valley,Napa,Chardonnay,Patland
Romania,86,7,Recas,,,Moscato,Cramele Recas
France,86,27,Burgundy,Bourgogne,,Chardonnay,Domaine Jessiaume
US,90,30,California,Santa Barbara County,Central Coast,Pinot Noir,Lucas & Lewellen
Spain,90,26,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Murrieta
US,90,21,California,Monterey County,Central Coast,Pinot Noir,Pessagno
US,90,40,California,Napa Valley,Napa,Cabernet Sauvignon,Peter Paul Wines
France,90,26,Bordeaux,Bordeaux Blanc,,Sauvignon,Producta Vignobles
US,90,18,North Carolina,Swan Creek,,Sangiovese,Raffaldini
Switzerland,90,30,Valais,,,Pinot Noir-Gamay,Robert Gilliard
Croatia,90,41,Istria,,,White Blend,Roxanich
Italy,90,,Piedmont,Barbaresco,,Nebbiolo,Sarotto
US,90,44,California,Russian River Valley,Sonoma,Pinot Noir,Stemmler
Italy,90,60,Piedmont,Barolo,,Nebbiolo,Tenuta L'Illuminata
Portugal,90,17,Vinho Verde,,,Portuguese White,Casa do Valle
US,90,14,California,California,California Other,Pinot Noir,Francis Ford Coppola
US,90,55,California,Russian River Valley,Sonoma,Pinot Noir,Gary Farrell
US,90,38,California,Paso Robles,Central Coast,Cabernet Sauvignon-Merlot,Alma Sol
Italy,90,40,Piedmont,Barbaresco,,Nebbiolo,Bera
US,90,26,California,Napa Valley,Napa,Sauvignon Blanc,Black Stallion
US,89,28,California,Tuolumne County,Sierra Foothills,Montepulciano,Gianelli
US,89,30,Washington,Walla Walla Valley (WA),Columbia Valley,Merlot,Kontos
US,89,59,California,Anderson Valley,,Pinot Noir,MacPhail
Spain,89,25,Northern Spain,Rioja,,Tempranillo,Montecillo
US,89,40,California,Livermore Valley,Central Coast,Petite Sirah,Nottingham Cellars
Spain,89,17,Northern Spain,Campo de Borja,,Garnacha,Borsao
France,89,14,Rhône Valley,Luberon,,Rhône-style Red Blend,Marrenon
France,89,17,Rhône Valley,Côtes-du-Ventoux,,Rhône-style Red Blend,Mas du Fadan
US,89,32,Washington,Columbia Valley (WA),Columbia Valley,Rhône-style Red Blend,:Nota Bene
US,89,24,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Plumb Cellars
Hungary,89,37,Villány,,,Bordeaux-style Red Blend,Sauska
US,89,28,Washington,Columbia Valley (WA),Columbia Valley,Tempranillo,Watermill
Spain,89,20,Northern Spain,Rioja,,Tempranillo Blend,Baron De Ley
France,89,15,Rhône Valley,Costières de Nîmes,,Rosé,Château Beaubois
Spain,89,14,Catalonia,Penedès,,White Blend,Temps de Flors
US,89,29,California,Dry Creek Valley,Sonoma,Zinfandel,Truett Hurst
Spain,89,25,Northern Spain,Getariako Txakolina,,White Blend,Txomín Etxaníz
Spain,89,20,Galicia,Rías Baixas,,Albariño,Valtea
US,89,34,California,North Coast,North Coast,Pinot Noir,On Point
US,89,35,California,Napa Valley,Napa,Merlot,Peju
Italy,88,15,Southern Italy,Salice Salentino,,Red Blend,Feudi di San Marzano
Italy,88,15,Southern Italy,Salento,,Negroamaro,Feudi di San Marzano
Italy,88,16,Sicily & Sardinia,Sicilia,,White Blend,Feudo Arancio
US,88,14,Oregon,Rogue Valley,Southern Oregon,Riesling,Foris
US,88,15,Oregon,Umpqua Valley,Southern Oregon,Grenache,Abacela
US,88,32,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Anam Cara
Chile,88,20,Aconcagua Valley,,,Cabernet Sauvignon,Arboleda
Austria,88,23,Kamptal,,,Riesling,Bründlmayer
Austria,88,44,Österreichischer Sekt,,,Sparkling Blend,Bründlmayer
US,88,22,California,Napa Valley,Napa,Cabernet Sauvignon,Cameron Hughes
Italy,88,30,Sicily & Sardinia,Vermentino di Sardegna,,Vermentino,Tenute Soletta
Italy,88,32,Sicily & Sardinia,Isola dei Nuraghi,,White Blend,Tenute Soletta
US,88,35,California,Carneros,Napa-Sonoma,Pinot Noir,The Gardener
US,88,60,California,Oakville,Napa,Cabernet Franc,Turnbull
France,88,15,Beaujolais,Chiroubles,,Gamay,Vignerons de Bel Air
US,88,40,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Youngberg Hill Vineyards
Chile,88,17,Casablanca Valley,,,Chardonnay,Morandé
US,88,25,California,Anderson Valley,,Chardonnay,Navarro
France,88,17,Beaujolais,Brouilly,,Gamay,Robert Perroud
US,88,40,California,Napa Valley,Napa,Merlot,Stephanie
US,88,35,Virginia,Virginia,,White Blend,Tarara
Chile,88,17,Rapel Valley,,,White Blend,Santa Monica
France,88,19,Southwest France,,,Syrah,Château Bouissel
France,88,30,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Maison Blanche
France,88,19,Southwest France,Bergerac Sec,,Bordeaux-style White Blend,Château Thénac
US,88,48,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Chehalem
US,88,19,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Chehalem
US,88,19,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Chehalem
Italy,88,17,Sicily & Sardinia,Sicilia,,White Blend,Cusumano
Italy,88,15,Sicily & Sardinia,Sicilia,,Red Blend,Donnafugata
US,86,15,California,North Coast,North Coast,Chardonnay,Epilogue
US,86,19,Oregon,Oregon,Oregon Other,Pinot Noir,Erath
US,86,27,California,Amador County,Sierra Foothills,Barbera,Fiddletown Cellars
US,86,29,California,Napa Valley,Napa,Chardonnay,Hawkstone
France,86,18,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Les Parcelles de Stéphane Derenoncourt
Chile,86,19,Colchagua Valley,,,Carmenère,Maquis
Italy,86,18,Sicily & Sardinia,Vermentino di Sardegna,,Vermentino,Mesa
US,86,10,California,California,California Other,Chenin Blanc-Viognier,Pepi
US,86,21,California,Monterey,Central Coast,Pinot Noir,Pessagno
Chile,86,12,Maule Valley,,,Chardonnay,San Nicolas
Italy,86,17,Sicily & Sardinia,Sicilia,,Grillo,Spadafora
US,86,22,Virginia,Virginia,,Sauvignon Blanc,Stinson
Chile,86,17,Maipo Valley,,,Carmenère,Tres Palacios
Italy,86,15,Sicily & Sardinia,Sicilia,,Insolia,Valle dell'Acate
Italy,86,29,Southern Italy,Salento,,White Blend,Villa Mottura
Chile,86,16,Maipo Valley,,,Red Blend,Viña Chocalan
US,86,25,California,Alexander Valley,Sonoma,Merlot,Huntington
US,86,14,California,Russian River Valley,Sonoma,Pinot Noir,Kenwood
US,86,22,California,Yorkville Highlands,North Coast,Bordeaux-style Red Blend,Wattle Creek
France,86,20,Bordeaux,Puisseguin Saint-Émilion,,Bordeaux-style Red Blend,Château Lanbersac
France,86,,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Tour Prignac
Chile,86,10,Central Valley,,,Sauvignon Blanc,Con Carne
Chile,86,18,Limarí Valley,,,Chardonnay,Concha y Toro
Chile,86,16,Choapa Valley,,,Syrah,De Martino
France,86,19,Southwest France,Jurançon Sec,,Gros Manseng,Domaine Bru-Baché
France,86,15,Beaujolais,Beaujolais Rosé,,Gamay,Domaine des Nugues
France,86,15,Southwest France,Gaillac,,Mauzac,Domaine du Moulin
France,86,13,Beaujolais,Beaujolais-Villages,,Gamay,Georges Duboeuf
France,86,12,Southwest France,Côtes de Gascogne,,Ugni Blanc-Colombard,Georges Vigouroux
Italy,86,20,Southern Italy,Tarantino,,Susumaniello,Poderi Angelini
US,86,50,California,Napa Valley,Napa,Petit Verdot,St. Supéry
Spain,86,15,Catalonia,Montsant,,Red Blend,Bula
US,86,18,California,Central Coast,Central Coast,Chardonnay,Calera
US,86,15,Oregon,Willamette Valley,Willamette Valley,Riesling,Château Bianca
France,86,30,Bordeaux,Blaye Côtes de Bordeaux,,Bordeaux-style Red Blend,Château Cantinot
France,86,,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château Gréteau Médeville
France,86,15,Bordeaux,Bordeaux Supérieur,,Bordeaux-style Red Blend,Château l'Escart
France,86,15,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Saint-Sulpice
Argentina,86,14,Mendoza Province,Mendoza,,Malbec,Alpamanta
Spain,86,9,Levante,Jumilla,,Red Blend,Bodegas Luzón
Argentina,86,10,Mendoza Province,Mendoza,,Cabernet Sauvignon,Santa Julia
Argentina,86,19,Mendoza Province,Mendoza,,Malbec,Terrazas de Los Andes
Spain,86,24,Catalonia,Penedès,,Cabernet Sauvignon,Torres
Spain,86,19,Levante,Yecla,,Monastrell,La Purísima
US,86,75,California,Calistoga,Napa,Cabernet Sauvignon,Homage
Italy,86,24,Tuscany,Toscana,,Red Blend,Il Borro
Austria,86,,Niederösterreich,,,Rosé,Weszeli
US,86,50,California,Dry Creek Valley,Sonoma,Zinfandel,Wilson
Austria,86,,Südsteiermark,,,Gelber Muskateller,Wohlmuth
Australia,86,14,Australia Other,South Eastern Australia,,Chardonnay,Woop Woop
Italy,86,18,Central Italy,Montepulciano d'Abruzzo,,Montepulciano,Tritano
US,86,50,California,Paso Robles,Central Coast,Rhône-style Red Blend,Edmond August
Spain,86,17,Northern Spain,Rioja,,White Blend,Fernández Gómez
Austria,86,,Wagram-Donauland,,,Grüner Veltliner,Fritsch
US,86,30,California,Carmel Valley,Central Coast,Pinot Noir,Galante
France,86,,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Maison Sichel
US,86,18,California,Monterey County,Central Coast,Sauvignon Blanc,Bernardus
Italy,86,12,Central Italy,Orvieto Classico,,White Blend,Bigi
Italy,86,19,Central Italy,Montefalco Rosso,,Red Blend,Bocale
US,86,10,California,California,California Other,Chardonnay,Bogle
France,92,,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Vieux Robin
Italy,92,49,Tuscany,Vino Nobile di Montepulciano,,Red Blend,Contucci
US,92,48,California,Napa Valley,Napa,Cabernet Sauvignon,Priest Ranch
US,92,40,California,Sonoma Coast,Sonoma,Syrah,Ramey
US,92,32,California,Green Valley,Sonoma,Syrah,Ron Rubin
Italy,92,28,Tuscany,Vino Nobile di Montepulciano,,Sangiovese,Salcheto
US,92,58,California,Edna Valley,Central Coast,Pinot Noir,Talley
Italy,92,67,Tuscany,Brunello di Montalcino,,Sangiovese,Tenuta La Fuga
Italy,92,50,Tuscany,Toscana,,Red Blend,Tenuta Sette Cieli
Italy,92,68,Tuscany,Brunello di Montalcino,,Sangiovese,Terralsole
US,92,45,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,The Four Graces
Italy,92,54,Tuscany,Brunello di Montalcino,,Sangiovese,Villa Poggio Salvi
US,92,55,California,Russian River Valley,Sonoma,Pinot Noir,Williams Selyem
France,92,54,Alsace,Alsace,,Riesling,Jean-Baptiste Adam
Australia,92,30,South Australia,Clare Valley,,Riesling,Kilikanoon
US,92,40,California,Lake County,,Red Blend,Langtry
US,92,45,California,Sonoma Coast,Sonoma,Pinot Noir,Merry Edwards
France,92,59,Alsace,Alsace,,Pinot Noir,Domaine Ostertag
France,92,35,Alsace,Alsace,,Pinot Noir,Domaine Pfister
France,92,40,Alsace,Alsace,,Gewürztraminer,Domaine Vincent Stoeffler
US,92,40,California,Santa Maria Valley,Central Coast,Pinot Blanc,Goat Bubbles
US,92,40,California,Mendocino,,Red Blend,Graziano
US,92,55,California,Napa Valley,Napa,Sauvignon Blanc,Grgich Hills
Australia,92,40,South Australia,Padthaway,,Shiraz,Henry's Drive Vignerons
US,92,30,California,Santa Barbara County,Central Coast,Roussanne,Jaffurs
Italy,92,51,Tuscany,Brunello di Montalcino,,Sangiovese,Abbadia Ardenga
US,92,29,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Aberrant Cellars
US,92,24,California,Santa Margarita Ranch,Central Coast,Red Blend,Ancient Peaks
Italy,92,50,Tuscany,Vino Nobile di Montepulciano,,Sangiovese,Antico Colle
US,80,28,California,Santa Ynez Valley,Central Coast,Rosé,Sunstone
US,80,28,Oregon,Rogue Valley,Southern Oregon,Pinot Noir,Del Rio
US,80,28,California,South Coast,South Coast,Cabernet Sauvignon,South Coast
US,80,23,California,Sierra Foothills,Sierra Foothills,Merlot,Longevity
US,80,15,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Namasté Vineyards
US,80,15,California,California,California Other,Cabernet Sauvignon,Finnegan's Lake
US,80,20,California,Paso Robles,Central Coast,Rhône-style Red Blend,Chronic Cellars
Germany,97,,Pfalz,,,Riesling,Müller-Catoir
US,96,85,California,Napa Valley,Napa,Cabernet Sauvignon,Pride Mountain
US,96,110,California,Napa Valley,Napa,Bordeaux-style Red Blend,Kendall-Jackson
US,96,145,California,Rutherford,Napa,Bordeaux-style Red Blend,Rubicon Estate
US,96,95,California,Napa Valley,Napa,Cabernet Sauvignon,David Arthur
US,95,135,California,Napa Valley,Napa,Cabernet Sauvignon,David Arthur
Germany,95,333,Pfalz,,,Riesling,Geh. Rat Dr. von Bassermann-Jordan
US,95,100,California,Rutherford,Napa,Cabernet Sauvignon,Meander
US,95,82,California,Napa Valley,Napa,Bordeaux-style Red Blend,Alpha Omega
US,95,75,California,Napa Valley,Napa,Cabernet Sauvignon,Hall
Australia,95,60,South Australia,Barossa Valley,,Shiraz,Kaesler
US,94,80,California,Rutherford,Napa,Bordeaux-style Red Blend,William Harrison
Spain,94,42,Andalucia,Jerez,,Sherry,Lustau
US,94,50,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Roar
Italy,94,115,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,Poggio Antico
US,94,75,California,Rutherford,Napa,Cabernet Sauvignon,Honig
Spain,89,18,Northern Spain,Cariñena,,Garnacha,Ignacio Marín
Portugal,89,15,Minho,,,Alvarinho,Quinta da Lixa
Portugal,89,16,Minho,,,Alvarinho,Quinta da Raza
US,89,22,California,Paso Robles,Central Coast,Viognier,Record Family Wines
US,89,30,Washington,Columbia Valley (WA),Columbia Valley,Red Blend,Ribbon Cliff
US,89,24,Washington,Columbia Gorge (WA),Washington Other,Grüner Veltliner,Savage Grace
US,89,35,Washington,Walla Walla Valley (WA),Columbia Valley,Carmenère,Seven Hills
US,89,24,California,El Dorado,Sierra Foothills,Grenache Blanc,Skinner
US,89,24,California,El Dorado,Sierra Foothills,Viognier,Skinner
US,89,15,California,California,California Other,Meritage,Sola
US,89,40,California,Santa Maria Valley,Central Coast,Chardonnay,Sweetzer Cellars
US,89,35,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Swiftwater Cellars
US,89,30,California,Amador County,Sierra Foothills,Zinfandel,Terra d'Oro
Italy,89,47,Northeastern Italy,Friuli Isonzo,,Sauvignon,Vie di Romans
Bulgaria,89,26,Thracian Valley,,,Red Blend,Villa Yustina
Chile,89,50,Maipo Valley,,,Cabernet Sauvignon,Viña Maipo
France,89,18,Alsace,Alsace,,Gewürztraminer,Willm
France,89,15,Alsace,Alsace,,Gewürztraminer,Willm
France,89,,Alsace,Alsace,,Pinot Blanc,Wunsch & Mann
Romania,89,18,Dealu Mare,,,Red Blend,Budureasca
Chile,89,21,Maule Valley,,,Cabernet Sauvignon,Finca Patagonia
US,89,72,Washington,Yakima Valley,Columbia Valley,Cabernet Franc,Owen Roe
US,89,15,California,Mendocino County,,Zinfandel,Paul Dolan
Moldova,89,15,Moldova,,,Sauvignon Blanc,Purcari
Italy,89,19,Northeastern Italy,Collio,,Malvasia,Ronco dei Tassi
France,89,15,Alsace,Alsace,,Pinot Noir,Ruhlmann
US,89,16,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Sharecropper's
US,89,28,Washington,Yakima Valley,Columbia Valley,Chardonnay,Sleight of Hand
US,89,20,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Sleight of Hand
US,89,25,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Soos Creek
US,84,40,New York,North Fork of Long Island,Long Island,Bordeaux-style Red Blend,Martha Clara
US,84,17,New York,North Fork of Long Island,Long Island,Chardonnay,Macari
US,84,20,New York,North Fork of Long Island,Long Island,Cabernet Sauvignon,Osprey's Dominion
US,84,14,New York,Finger Lakes,Finger Lakes,Chardonnay,Keuka Spring
US,84,17,New York,Finger Lakes,Finger Lakes,Rosé,Red Tail Ridge
US,84,8,California,California,California Other,Cabernet Sauvignon,Round Hill
Argentina,84,15,Mendoza Province,Mendoza,,Malbec,Bautista Simona
Spain,84,17,Northern Spain,Somontano,,Tempranillo-Cabernet Sauvignon,Bodega Otto Bestué
France,84,13,Southwest France,Fronton,,Red Blend,Château Cahuzac
Italy,84,17,Piedmont,Brachetto d'Acqui,,Brachetto,Duchessa Lia
Argentina,84,10,Mendoza Province,Uco Valley,,Malbec,Finca El Portillo
US,84,25,California,Napa Valley,Napa,Chardonnay,William Hill Estate
US,84,20,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Billsboro
Italy,84,27,Piedmont,Roero Arneis,,Arneis,Cornarea
US,84,30,Arizona,Cochise County,,Viognier,Page Springs
Italy,84,22,Piedmont,Dolcetto d'Alba,,Dolcetto,Pio Cesare
US,84,35,New York,Finger Lakes,Finger Lakes,Cabernet Sauvignon,Shaw
Argentina,84,16,Mendoza Province,Mendoza,,Cabernet Sauvignon,Argento
Spain,86,25,Northern Spain,Cariñena,,Garnacha,Ignacio Marín
Portugal,86,6,Tejo,,,Portuguese Red,Caves Velhas
France,86,14,Southwest France,Bergerac,,Bordeaux-style Red Blend,Château Tour des Gendres
Chile,86,12,Central Valley,,,Carmenère,Cuna del Sol
France,86,12,Southwest France,Côtes de Gascogne,,Ugni Blanc-Colombard,Georges Vigouroux
Chile,86,21,Maule Valley,,,Carignan,Odfjell
France,86,69,Champagne,Champagne,,Champagne Blend,Palmer & Co
US,86,55,California,Napa Valley,Napa,Red Blend,Peju
France,86,12,Southwest France,Côtes du Lot,,Rosé,Pelvillain Frères
Portugal,86,15,Douro,,,Portuguese Red,Quinta do Passadouro
US,86,17,California,Central Coast,Central Coast,White Blend,Qupé
US,86,26,California,Sonoma Coast,Sonoma,Pinot Noir,R2
US,86,45,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Kason
US,86,30,California,Santa Ynez Valley,Central Coast,Syrah,Kitá
US,86,18,California,Edna Valley,Central Coast,Chardonnay,True Myth
Portugal,86,17,Dão,,,Touriga Nacional,UDACA
Spain,86,15,Northern Spain,Navarra,,Garnacha,Vega Sindoa
US,86,25,California,Russian River Valley,Sonoma,Pinot Noir,Virginia Dare
US,86,49,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Wrath
US,86,67,California,Napa Valley,Napa,Cabernet Sauvignon,Sequum
Greece,86,25,Crete,,,Assyrtico,Lyrarakis
Chile,86,18,Curicó Valley,,,Malbec,Millaman
Spain,86,25,Central Spain,Vino de la Tierra de Castilla,,Tempranillo-Cabernet Sauvignon,Montalvo Wilmot
US,86,20,California,Paso Robles,Central Coast,Merlot,Maddalena
US,86,65,California,Calistoga,Napa,Petite Sirah,Madrigal
Portugal,86,12,Alentejano,,,Syrah,Marcolino Sebo
US,86,56,California,Russian River Valley,Sonoma,Pinot Noir,Matrix
Portugal,86,8,Douro,,,Portuguese Red,Messias
Chile,86,13,Aconcagua Costa,,,Sauvignon Blanc,Montes
Italy,86,15,Tuscany,Chianti Classico,,Red Blend,Piccini
US,91,36,California,Santa Ynez Valley,Central Coast,G-S-M,Larner
US,91,35,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Market Vineyards
Spain,91,105,Catalonia,Priorat,,Red Blend,Mas Igneus
Portugal,91,26,Alentejano,,,Portuguese Red,Monte Branco
France,91,20,Loire Valley,Chinon,,Cabernet Franc,Jean-Maurice Raffault
Italy,91,,Northeastern Italy,Colli Orientali del Friuli,,Sauvignon,La Tunella
Italy,91,35,Northeastern Italy,Alto Adige,,White Blend,Manincor
US,91,35,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Sauvignon,Market Vineyards
Chile,91,25,Colchagua Valley,,,Carmenère,Montes
US,91,35,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,:Nota Bene
US,91,25,California,Paso Robles,Central Coast,White Blend,ONX
France,91,20,Southwest France,Madiran,,Tannat,Producteurs Plaimont
US,91,30,California,Santa Barbara County,Central Coast,Pinot Noir,Rusack
Chile,91,30,Maipo Valley,,,Red Blend,Santa Alicia
US,91,35,California,Sierra Foothills,Sierra Foothills,Syrah,Terre Rouge
Portugal,91,18,Tejo,,,Portuguese Red,Casa Cadaval
Chile,91,76,Colchagua Valley,,,Red Blend,Casa Silva
US,91,25,California,El Dorado,Sierra Foothills,Syrah,Cedarville Vineyard
France,91,50,Loire Valley,Vouvray,,Chenin Blanc,Château Gaudrelle
France,91,50,Loire Valley,Chinon,,Cabernet Franc,Couly-Dutheil
France,91,26,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Domaine des Berthiers
France,91,35,Loire Valley,Saumur,,Chenin Blanc,Domaine des Roches Neuves
France,91,32,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Fournier Père et Fils
Spain,91,40,Catalonia,Priorat,,Red Blend,Francesc Sanchez Bas
US,91,46,California,Napa Valley,Napa,Cabernet Sauvignon,V. Sattui
Chile,91,120,Cachapoal Valley,,,Red Blend,Viña La Rosa
Italy,91,85,Northeastern Italy,Venezia Giulia,,Vitovska,Vodopivec
US,91,26,California,Santa Ynez Valley,Central Coast,Grenache,Whitcraft
France,91,18,Southwest France,Saint-Mont,,Red Blend,Producteurs Plaimont
Spain,91,55,Northern Spain,Ribera del Duero,,Tempranillo,Protos
US,84,19,California,Napa Valley,Napa,Pinot Noir,Napa Cellars
Italy,84,,Tuscany,Chianti Classico,,Red Blend,Poggio Bonelli
US,84,15,California,Sonoma County,Sonoma,Pinot Noir,Stephen Vincent
US,84,6,Washington,Washington,Washington Other,Chardonnay,Two Vines
Spain,84,10,Northern Spain,Ribera del Duero,,Tempranillo,Vicente Gandia
US,84,15,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Acre Twenty-one
Italy,84,6,Tuscany,Chianti,,Red Blend,Artimino
US,84,17,Washington,Columbia Gorge (WA),Washington Other,Cabernet Sauvignon,Barnard Griffin
US,84,17,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Goose Ridge
US,84,49,California,Sonoma County,Sonoma,Pinot Noir,Canihan
France,84,12,Bordeaux,Bordeaux Rosé,,Rosé,Château de l'Aubrade
France,84,15,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Château de Parenchère
France,84,28,Bordeaux,Crémant de Bordeaux,,Sparkling Blend,Château de Piote
France,84,14,Bordeaux,Bordeaux Rosé,,Rosé,Château des Antonins
France,84,12,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Haut Vieux Chêne
France,84,9,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Jean de Bel Air
France,84,9,Bordeaux,Bordeaux Rosé,,Rosé,Château Maison Noble
France,84,14,Bordeaux,Bordeaux Rosé,,Rosé,Château Ramage la Batisse
US,84,17,California,Sierra Foothills,Sierra Foothills,Riesling,Drytown
France,84,30,Bordeaux,Bordeaux,,Bordeaux-style Red Blend,Château Grand Jean
Spain,84,15,Northern Spain,Rioja,,Viura,Conde Bel
US,84,15,California,Monterey County,Central Coast,Merlot,Esser
US,84,20,California,Sonoma County,Sonoma,Merlot,St. Francis
Spain,84,10,Central Spain,Vino de la Tierra de Castilla,,Tempranillo,Trencalòs
Spain,84,18,Northern Spain,Rioja,,Viura,Bodegas Valdemar
US,84,30,Washington,Red Mountain,Columbia Valley,Viognier,Hudson Shah
US,84,14,Washington,Columbia Valley (WA),Columbia Valley,Merlot,Kennedy Shah
US,83,15,California,California,California Other,Chardonnay,401K
France,83,14,Bordeaux,Bordeaux Clairet,,Bordeaux-style Red Blend,Château de Marsan
France,83,10,Bordeaux,Bordeaux Rosé,,Rosé,Château Taussin
US,88,10,Washington,Columbia Valley (WA),Columbia Valley,Pinot Gris,Chateau Ste. Michelle
France,88,22,France Other,Savoie,,Mondeuse,Domaine de l'Idylle
US,88,24,New York,North Fork of Long Island,Long Island,Merlot,Martha Clara
Italy,88,49,Veneto,Amarone della Valpolicella,,Red Blend,Monteci
Italy,88,30,Veneto,Amarone della Valpolicella,,Red Blend,Pasqua
US,88,50,California,Solano County,North Coast,Cabernet Sauvignon,Putah Creek
Spain,88,15,Northern Spain,Rueda,,Verdejo,Reina de Castilla
US,88,32,Washington,Horse Heaven Hills,Columbia Valley,Cabernet Sauvignon,Robert Karl
US,88,25,California,California,California Other,Red Blend,Sexual Chocolate
Argentina,88,15,Mendoza Province,Mendoza,,Malbec,Tamarí
US,88,80,New York,Finger Lakes,Finger Lakes,Riesling,Heron Hill
US,88,20,California,Napa County,Napa,Cabernet Sauvignon,Joseph Carr
US,88,30,California,Santa Ynez Valley,Central Coast,Sangiovese,Koehler
Spain,88,17,Galicia,Rías Baixas,,Albariño,La Val
Argentina,88,22,Mendoza Province,Luján de Cuyo,,Malbec,Luigi Bosca
Chile,88,35,Malleco,,,Chardonnay,Viña Aquitania
